Contig	06/29/10	05/22/13	07/10/09	12/23/13	12/11/12	02/23/11	09/18/13	03/13/13	09/28/11	05/17/10	04/29/11	11/29/11	05/22/13	01/15/14	05/21/11	02/13/13	05/22/13	08/11/10	01/26/12	01/16/13	04/27/10	11/23/10	05/21/14	02/11/10	09/10/14	12/20/11	10/21/10	01/11/11	12/23/13	06/22/11	08/19/09	09/24/09	04/24/13	10/21/10	04/10/14	11/28/12	07/21/10	06/29/10	08/14/13	12/23/09	07/17/14	09/10/14	07/20/11	10/22/09	08/14/13	07/09/12	08/14/13	10/22/09	06/29/10	07/21/10	10/25/11	05/21/14	02/11/10	09/10/14	03/13/13	12/11/12	04/10/14	08/11/10	09/18/13	02/12/14	12/20/11	07/10/09	11/28/12	01/16/13	07/18/13	01/26/12	08/17/11	12/16/10	01/11/11	05/21/11	12/20/11	09/15/10	09/24/09	11/13/13	06/22/11	06/19/13	06/20/12	02/16/12	06/19/13	08/19/09	11/28/12	12/23/09	11/23/10	08/17/11	01/26/12	11/29/11	11/29/11	11/13/13	09/15/10	09/28/11	12/23/13	02/16/12	08/15/12	02/12/14	05/17/10	03/24/10	04/29/11	02/23/11	04/27/10	12/16/10	04/24/13	05/30/12	02/13/13	03/24/10	07/18/13	08/15/12	07/20/11	10/25/11	07/17/14	05/30/12	01/15/14
1126415_scaffold00334	0	6.1942115	77.74651	0.75268936	5.1745667	2.4290602	3.2821124	1.1736797	3.230853	2.1816504	0.5457664	30.686974	0	5.133631	1.2918615	28.173538	6.022775	1.3506565	12.299229	1.9212079	2.9155073	59.858864	0.19869827	10.006413	3.8177826	12.657625	5.0128517	3.2745912	0.15085316	1.9074786	76.442055	13.263709	4.329159	5.0501018	1.5874923	0	0.86401224	0.75819534	1.4672657	24.30857	4.9728785	3.1570747	6.9461417	25.237473	0	9.276545	1.0734725	24.318377	1.5253538	0.6859041	3.324775	0.14778823	9.128273	2.1320271	0.90363646	5.724481	1.7581807	1.4514769	2.864985	2.859451	0	75.13362	10.55099	2.147961	0.760314	10.21053	20.497725	28.95173	2.7913227	1.394655	11.488305	3.7755678	14.877362	0.9090241	1.6957667	1.106128	8.018649	25.159088	1.3840543	78.24029	10.160196	24.611303	60.294434	22.549238	0	6.542903	6.9186535	1.0988551	3.7622862	3.5788395	0.48182622	24.65682	0	2.7534337	1.8303931	7.2232094	0.30485716	2.8496723	2.9315107	31.70091	4.836099	18.546232	32.628036	6.9840474	0.6650186	8.8252735	6.1318455	3.8750548	4.190814	18.458406	4.716496
1126415_scaffold00403	0	0.26933765	30.211424	0.19423221	0.9714021	1.1145267	0.19997483	0.088772	0.081455864	0.27999124	3.101583	0	0	0.071267575	1.7501721	0.45921168	0.15289994	98.799835	0.14124364	0.09800095	0.82221043	20.778261	0	3.742534	2.595956	0.087859675	38.826225	0.3038791	0	0.64584106	48.28532	55.222378	0.053648137	37.76828	0.269445	0	0.81220853	0.6319594	0	17.456568	0	2.9677854	3.3440292	41.58312	0	0.7884649	0.058864754	45.333317	0.48665625	0.850361	0.52507234	0	3.0737426	2.7279344	0	1.0856922	0.29342568	98.695244	0.24169824	0.08833824	0	27.80378	2.518706	0.20307797	0.10423111	0.11584198	8.71751	9.606572	0.3858769	1.9782068	0.38967267	68.851974	54.418938	1.0736297	0.55646825	0.037909653	0.36642438	0.547468	0.037947882	48.31039	2.1017962	16.25077	21.301062	8.9386	0	0.7899865	0.58088434	0.44399622	68.02272	0.22863919	0.3170561	1.0385231	0	0.170126	0.37786773	1.2996725	2.3125317	0.6677955	1.3113965	10.168595	0.08118107	0.297658	0.21524034	1.2201006	0.056102846	0.21964046	2.7494054	0.45438504	0	0.10883678	0.0699008
1126415_scaffold00438	1506.4148	1.2818688	62.171074	4.7179065	1.8694704	9.059463	3.4123635	25.457952	4.893227	112.29954	5.372117	26.721891	0	3.4994109	2.699158	14.461139	1.054281	11.044837	8.152791	1.7917337	644.52893	2.2338667	2.1058884	1.6087803	0.6124051	20.438541	0.22597782	0.69266707	0.17284384	129.91507	11.843235	0.410736	0.42035967	0.21351598	2.3169446	10.102729	26.764383	400.13324	10.759405	28.65339	2.2384224	0.2583785	79.36301	14.25267	249.66411	1.7006141	8.363717	12.18612	402.29178	26.788671	23.892843	2.2013178	1.7222288	0.40713742	21.17791	1.232889	2.4086177	11.682029	2.1884198	1.2459128	585.4541	68.327675	0.95339644	1.6972973	2.5045538	8.310306	5.593562	1.4913375	0.53751755	2.0880032	22.580683	1.8160144	0.2955974	4.726979	128.35828	3.010014	16.679817	8.922539	1.9029788	11.943407	1.0456262	32.388805	2.128635	5.0496783	0.46061793	6.808928	6.941062	4.9036345	1.5703394	5.414314	4.802963	9.597891	1564.5342	1.7773618	108.784004	18.427423	4.802846	12.139417	645.6954	1.7199894	0.33925003	127.2916	15.57215	16.924902	2.872011	96.849754	74.837494	23.819317	1.9411258	125.70124	2.5559676
1126415_scaffold00458	0	0.22563484	52.101765	6.6423006	0	0.43918896	130.02475	0	18.073536	0.027416073	0	0	0	1.3817135	0.13464996	0	0.06587503	0.06556789	4.716112	0.05277811	0.2459994	7.5069275	0.058678906	0.18895592	0	3.24907	4.562479	0	0.35639557	8.090495	41.177116	4.3648834	0.20224428	5.1290236	0.156271	0	1.2393351	0	0.28887197	2.8714905	0	0.26638192	502.33054	9.325138	0	1.0958072	0.5706257	10.458342	0.06552181	0.9159185	8.263346	0.058192436	0.07398233	0	0	0	0.11287392	0.12545715	124.525314	1.0942086	0	49.617195	0.117951415	0.1312404	1.7401336	5.7811337	12.975359	1.4544228	0	0.043932255	2.8260744	3.242218	4.9099216	21.888998	7.5709705	0.12249675	0.1268593	4.520837	0.286114	39.92427	0.071867675	2.6668582	7.8007016	12.943922	0	2.1981313	2.3853552	26.712315	3.1903458	17.525919	5.5209026	4.7324824	0	0.91620827	0	0.1999813	0.0600196	0.43156704	0.41007972	2.1557364	0.058293086	0	0.17387553	0.2920362	2.1754088	0	496.06906	8.723109	0	0	0.37644863
1126415_scaffold00524	0	15.478974	58.55151	2.522803	7.319421	11.518138	21.163933	1.5373646	2.91537	4.4668865	11.528006	29.841406	0	5.1014457	6.1822157	1.6662769	15.675806	30.362047	6.5228662	2.0932043	19.091	10.9299555	0.44028726	33.39704	6.1876426	7.6078234	59.51892	3.4446216	0	3.485105	50.052193	4.469242	11.179992	59.60301	0.9332564	0	3.4774096	6.1825976	3.4680035	82.93635	2.586138	6.9480424	9.042993	16.432253	0	22.361462	2.3786633	14.194914	6.2156305	2.7565281	2.4585505	0.49901384	34.317932	8.9986105	1.4562404	6.376382	0.9437224	29.316221	20.64975	9.740062	6.5763702	50.631435	4.888729	2.0632653	52.347534	6.954707	24.725946	7.2159534	2.6136642	6.3808546	7.2582784	46.50113	5.880004	1.3280896	3.3983054	19.651955	43.34774	12.4308	18.795525	50.124184	4.275458	86.40271	10.371814	23.353743	0	11.134881	10.604734	1.3913759	46.379242	2.7277257	2.1963265	12.405226	0	7.807598	4.008176	31.153778	12.706216	11.564965	16.8012	7.04404	11.09102	25.029797	2.1122832	29.50354	54.862793	4.7166634	9.136845	3.2710755	1.4677358	25.005661	7.5861187
1126415_scaffold00576	0	2.5902255	110.62775	0.41436586	0.6855873	0.5633524	0.9751243	0.64930975	0.39719796	1.4894215	0.13266708	0	0	6.9503493	0.53339064	0.55980605	2.0130553	65.47794	4.2185154	2.1504405	1.1693767	5.491798	0.53130406	3.0891037	1.0208461	1.5708896	5.0759354	0	0	0.2909654	7.48793	4.608387	0.49050176	5.007788	0.4042699	0	260.7342	1.6624326	1.3077856	4.674605	2.3744822	0.70348155	3.2699745	3.2782066	0	0.23254476	2.152788	2.8439043	1.8910245	260.43585	0.10668235	0.6586242	2.3445373	2.3753662	0.43931913	0.9782558	0.6643058	62.334877	1.1785774	3.0691512	0	106.15124	0.75648785	1.8814863	2.0330217	3.8599632	2.6358697	1.7401853	0	0.5220882	1.3617637	8.924081	4.33068	1.5892786	0.2856284	1.7561357	0.8774324	2.5361037	1.8966887	6.5910544	0.6913908	5.1864777	6.548262	1.4528904	0	1.3241799	2.2571712	1.4691277	9.934316	0.51099515	0.8374383	2.4346552	0	3.4738426	1.7849915	3.0178614	0.13586082	0.5210125	1.4955294	2.0856957	0.36286983	3.810057	0.7871719	2.7268531	2.667314	1.8742826	2.9440494	0.29325286	2.5034494	4.3120494	5.8797107
1126415_scaffold00621	0	5.1743307	160.42484	2.6160753	2.626333	4.018918	8.268177	0.2780587	3.8781667	1.2437606	1.9089171	0	0	2.3215916	0.18273428	0	4.329485	10.576215	1.548451	0.24557309	0.28615478	4.3559303	0.6143155	0.7815107	1.6787117	8.366112	4.3587027	1.8690565	0	1.1961819	44.124958	3.6754165	3.0583456	3.8409352	2.46701	0	5.003326	2.4587142	19.355076	1.143909	1.4642526	1.2394578	1.1426656	6.245424	0	23.67718	18.8806	6.872715	3.1249042	5.7778945	8.36956	0.40614843	1.0972488	2.4413295	0.3386392	2.1882708	2.4421568	9.558808	8.3782015	2.3796206	0	163.01517	2.0123413	0.050887752	4.8319182	1.3546379	28.853716	7.2023773	2.481811	0.10220695	8.527671	3.3642108	4.057053	5.092404	1.0091134	5.4147096	31.349796	7.362306	6.7038946	42.902546	1.50478	1.4418579	5.0127687	30.030653	0	6.9284835	7.505406	4.6887145	3.452632	4.344715	2.7144961	6.6560254	0	2.9841402	0.9172802	1.2406666	2.2690468	3.6479635	0.42401654	8.898025	2.678435	26.105743	0	1.1889722	5.7639375	12.933936	1.489627	8.439101	1.2252238	23.931688	2.1019092
1126415_scaffold00701	25.852177	10.995175	86.02167	16.128933	4.9213257	2.911468	14.007611	354.19675	189.22774	1087.8214	13.868984	0	0	11.111383	39.235756	55.49806	11.566975	55.790817	23.074604	3.1887455	519.7019	59.039806	4.5792937	45.559616	0.3405926	9.13218	4.618698	3.2958632	0	12.734217	274.35785	31.775644	19.747078	4.5995107	1.9107946	0	206.87823	260.86584	14.035166	37.38146	0	0.111765645	23.953213	30.411106	0	6.396507	15.801519	33.16642	253.76874	205.43318	432.181	4.980813	47.329308	0	356.23434	4.479765	1.5628276	54.21709	15.837934	0.77846736	0	80.61561	10.1452	3.1937366	2.1196637	21.463812	13.307702	38.130714	4.045701	39.51032	10.530723	18.393257	31.071259	2.0793846	13.817972	10.690338	5.411336	11.974605	8.540317	267.93073	7.37252	36.49923	58.912807	16.068193	0	19.813889	20.082056	3.0097306	18.939775	189.03409	15.187944	9.8016615	0	1.0955763	1093.7448	148.84921	15.260518	2.3901532	514.62195	38.469597	19.554153	4.708067	53.839172	147.31094	3.0424483	2.0050297	24.984293	435.6062	0	6.1973104	10.613986
1126415_scaffold00772	0	24.429226	145.18285	11.109732	1.0830886	20.424225	56.76736	2.068651	29.450294	7.045878	1.5369716	0.38024697	0	10.367082	12.8885145	1.3897398	22.414652	0.60181504	9.525101	0.6228308	20.450178	127.40826	20.927853	35.51252	25.545635	6.61783	171.60545	8.271254	0.23365554	211.92958	224.40858	43.60812	2.1593688	169.71878	11.738118	1.7071468	4.6839223	5.026279	66.43681	61.944286	1.1003518	25.148441	61.04251	74.47511	0	5.0648556	68.41991	75.51126	4.940006	4.711481	40.827015	18.770481	32.06072	18.162561	1.4632571	0.59999645	11.307348	0.65800506	54.957455	15.220743	0	152.69627	2.1136816	0.516253	26.42343	7.9620485	25.592926	77.80806	8.537932	13.249062	5.5400405	426.76096	44.26653	14.079822	211.30388	201.25627	1.016521	5.7731495	212.01723	218.85645	2.0260298	65.25762	131.79193	26.837679	0	8.832616	8.8703985	14.511876	438.01105	28.36203	10.895947	5.641182	0.57464606	14.536283	8.538609	33.03952	1.65267	19.69252	17.803928	75.772	2.4841292	6.3758035	1.2159368	34.46299	22.027084	3.8671408	60.212555	38.163975	1.3810908	8.454066	8.193842
1126415_scaffold00777	1.6043775	354.0108	76.99875	2.4094448	0.7973074	131.53174	18.144415	274.863	5.831784	14.470508	75.94722	0	0.16746047	4.5466566	10.5748	9.393424	348.21594	1.5246844	2.6031542	4.7238584	14.246915	18.442797	15.601542	4.283353	1.8995174	1.7023147	3.0920925	9.791198	10.789325	3.2643697	62.436268	1.5006176	42.896458	3.0133266	628.0881	0	2.8307137	2.6406524	183.64822	2.6405158	8.560391	1.869983	88.96097	2.4176242	0	12.133704	183.26323	1.4301982	2.975357	3.6166978	1.654224	17.846645	3.870787	12.154757	271.86716	0.6022947	648.26526	1.7889234	18.617762	2.7552378	9.998121	73.908226	0.2587534	3.857938	363.2915	2.6276865	9.585453	8.095031	10.248291	9.0207405	1.9151361	91.56151	1.9165013	7.39304	4.0483594	89.162834	41.35462	1.4488158	95.60104	64.829216	0.4729745	2.8180623	20.377588	10.231749	0	0.88664484	0.92646676	8.272881	89.22888	7.2392216	1.5732284	1.4723253	221.50931	2.6530843	14.196239	56.856125	75.12902	138.33778	14.873447	6.544464	45.69124	3.164947	10.756487	54.58322	357.52158	50.27857	89.729836	1.0989066	13.586534	2.391636	5.945948
