Contig,06/29/10,05/22/13,07/10/09,12/23/13,12/11/12,02/23/11,09/18/13,03/13/13,09/28/11,05/17/10,04/29/11,11/29/11,05/22/13,01/15/14,05/21/11,02/13/13,05/22/13,08/11/10,01/26/12,01/16/13,04/27/10,11/23/10,05/21/14,02/11/10,09/10/14,12/20/11,10/21/10,01/11/11,12/23/13,06/22/11,08/19/09,09/24/09,04/24/13,10/21/10,04/10/14,11/28/12,07/21/10,06/29/10,08/14/13,12/23/09,07/17/14,09/10/14,07/20/11,10/22/09,08/14/13,07/09/12,08/14/13,10/22/09,06/29/10,07/21/10,10/25/11,05/21/14,02/11/10,09/10/14,03/13/13,12/11/12,04/10/14,08/11/10,09/18/13,02/12/14,12/20/11,07/10/09,11/28/12,01/16/13,07/18/13,01/26/12,08/17/11,12/16/10,01/11/11,05/21/11,12/20/11,09/15/10,09/24/09,11/13/13,06/22/11,06/19/13,06/20/12,02/16/12,06/19/13,08/19/09,11/28/12,12/23/09,11/23/10,08/17/11,01/26/12,11/29/11,11/29/11,11/13/13,09/15/10,09/28/11,12/23/13,02/16/12,08/15/12,02/12/14,05/17/10,03/24/10,04/29/11,02/23/11,04/27/10,12/16/10,04/24/13,05/30/12,02/13/13,03/24/10,07/18/13,08/15/12,07/20/11,10/25/11,07/17/14,05/30/12,01/15/14,Clade
1126415_scaffold00334,1.5253538,6.022775,75.13362,0.48182622,5.724481,2.8496723,2.864985,0.90363646,3.5788395,1.8303931,0.30485716,6.9186535,6.022775,4.716496,1.394655,32.628036,6.022775,1.4514769,0,2.147961,2.9315107,60.294434,0.14778823,9.128273,2.1320271,11.488305,5.0501018,2.7913227,0.48182622,1.6957667,78.24029,14.877362,4.836099,5.0501018,1.7581807,10.160196,0.6859041,1.5253538,1.0734725,24.611303,4.190814,2.1320271,6.1318455,24.318377,1.0734725,9.276545,1.0734725,24.318377,1.5253538,0.6859041,3.8750548,0.14778823,9.128273,2.1320271,0.90363646,5.724481,1.7581807,1.4514769,2.864985,2.7534337,11.488305,75.13362,10.160196,2.147961,0.6650186,0,22.549238,31.70091,2.7913227,1.394655,11.488305,3.7622862,14.877362,1.0988551,1.6957667,1.3840543,8.018649,24.65682,1.3840543,78.24029,10.160196,24.611303,60.294434,22.549238,0,6.9186535,6.9186535,1.0988551,3.7622862,3.5788395,0.48182622,24.65682,8.8252735,2.7534337,1.8303931,6.9840474,0.30485716,2.8496723,2.9315107,31.70091,4.836099,18.458406,32.628036,6.9840474,0.6650186,8.8252735,6.1318455,3.8750548,4.190814,18.458406,4.716496,PLV2
1126415_scaffold00403,0.48665625,0.15289994,27.80378,0.3170561,1.0856922,0.6677955,0.24169824,0,0.22863919,0.37786773,2.3125317,0.58088434,0.15289994,0.0699008,1.9782068,0.21524034,0.15289994,98.695244,0,0.20307797,1.3113965,21.301062,0,3.0737426,2.7279344,0.38967267,37.76828,0.3858769,0.3170561,0.55646825,48.31039,54.418938,0.08118107,37.76828,0.29342568,2.1017962,0.850361,0.48665625,0.058864754,16.25077,0,2.7279344,2.7494054,45.333317,0.058864754,0.7884649,0.058864754,45.333317,0.48665625,0.850361,0.45438504,0,3.0737426,2.7279344,0,1.0856922,0.29342568,98.695244,0.24169824,0.170126,0.38967267,27.80378,2.1017962,0.20307797,0.056102846,0,8.9386,10.168595,0.3858769,1.9782068,0.38967267,68.02272,54.418938,0.44399622,0.55646825,0.037947882,0.36642438,1.0385231,0.037947882,48.31039,2.1017962,16.25077,21.301062,8.9386,0,0.58088434,0.58088434,0.44399622,68.02272,0.22863919,0.3170561,1.0385231,0.21964046,0.170126,0.37786773,1.2201006,2.3125317,0.6677955,1.3113965,10.168595,0.08118107,0.10883678,0.21524034,1.2201006,0.056102846,0.21964046,2.7494054,0.45438504,0,0.10883678,0.0699008,PLV3
1126415_scaffold00438,402.29178,1.054281,68.327675,4.802963,1.232889,12.139417,2.1884198,21.17791,5.414314,108.784004,4.802846,6.941062,1.054281,2.5559676,2.0880032,15.57215,1.054281,11.682029,0.46061793,1.6972973,645.6954,2.128635,2.2013178,1.7222288,0.40713742,22.580683,0.21351598,0.53751755,4.802963,128.35828,11.943407,0.2955974,0.33925003,0.21351598,2.4086177,1.0456262,26.788671,402.29178,8.363717,32.388805,1.9411258,0.40713742,74.837494,12.18612,8.363717,1.7006141,8.363717,12.18612,402.29178,26.788671,23.819317,2.2013178,1.7222288,0.40713742,21.17791,1.232889,2.4086177,11.682029,2.1884198,1.7773618,22.580683,68.327675,1.0456262,1.6972973,2.872011,0.46061793,5.0496783,1.7199894,0.53751755,2.0880032,22.580683,1.5703394,0.2955974,4.9036345,128.35828,1.9029788,16.679817,9.597891,1.9029788,11.943407,1.0456262,32.388805,2.128635,5.0496783,0.46061793,6.941062,6.941062,4.9036345,1.5703394,5.414314,4.802963,9.597891,96.849754,1.7773618,108.784004,16.924902,4.802846,12.139417,645.6954,1.7199894,0.33925003,125.70124,15.57215,16.924902,2.872011,96.849754,74.837494,23.819317,1.9411258,125.70124,2.5559676,Polinton
1126415_scaffold00458,0.06552181,0.06587503,49.617195,5.5209026,0,0.43156704,124.525314,0,17.525919,0,0.0600196,2.3853552,0.06587503,0.37644863,0.043932255,0.17387553,0.06587503,0.12545715,0,0.1312404,0.41007972,7.8007016,0.058192436,0.07398233,0,2.8260744,5.1290236,0,5.5209026,7.5709705,39.92427,4.9099216,0.058293086,5.1290236,0.11287392,0.071867675,0.9159185,0.06552181,0.5706257,2.6668582,0,0,496.06906,10.458342,0.5706257,1.0958072,0.5706257,10.458342,0.06552181,0.9159185,8.723109,0.058192436,0.07398233,0,0,0,0.11287392,0.12545715,124.525314,0.91620827,2.8260744,49.617195,0.071867675,0.1312404,2.1754088,0,12.943922,2.1557364,0,0.043932255,2.8260744,3.1903458,4.9099216,26.712315,7.5709705,0.286114,0.1268593,4.7324824,0.286114,39.92427,0.071867675,2.6668582,7.8007016,12.943922,0,2.3853552,2.3853552,26.712315,3.1903458,17.525919,5.5209026,4.7324824,0,0.91620827,0,0.2920362,0.0600196,0.43156704,0.41007972,2.1557364,0.058293086,0,0.17387553,0.2920362,2.1754088,0,496.06906,8.723109,0,0,0.37644863,X1
1126415_scaffold00524,6.2156305,15.675806,50.631435,2.1963265,6.376382,11.564965,20.64975,1.4562404,2.7277257,4.008176,12.706216,10.604734,15.675806,7.5861187,6.3808546,2.1122832,15.675806,29.316221,0,2.0632653,16.8012,10.371814,0.49901384,34.317932,8.9986105,7.2582784,59.60301,2.6136642,2.1963265,3.3983054,50.124184,5.880004,11.09102,59.60301,0.9437224,4.275458,2.7565281,6.2156305,2.3786633,86.40271,1.4677358,8.9986105,9.136845,14.194914,2.3786633,22.361462,2.3786633,14.194914,6.2156305,2.7565281,3.2710755,0.49901384,34.317932,8.9986105,1.4562404,6.376382,0.9437224,29.316221,20.64975,7.807598,7.2582784,50.631435,4.275458,2.0632653,54.862793,0,23.353743,7.04404,2.6136642,6.3808546,7.2582784,46.379242,5.880004,1.3913759,3.3983054,18.795525,43.34774,12.405226,18.795525,50.124184,4.275458,86.40271,10.371814,23.353743,0,10.604734,10.604734,1.3913759,46.379242,2.7277257,2.1963265,12.405226,4.7166634,7.807598,4.008176,29.50354,12.706216,11.564965,16.8012,7.04404,11.09102,25.005661,2.1122832,29.50354,54.862793,4.7166634,9.136845,3.2710755,1.4677358,25.005661,7.5861187,PLV2
1126415_scaffold00576,1.8910245,2.0130553,106.15124,0.8374383,0.9782558,0.5210125,1.1785774,0.43931913,0.51099515,1.7849915,0.13586082,2.2571712,2.0130553,5.8797107,0.5220882,0.7871719,2.0130553,62.334877,0,1.8814863,1.4955294,6.548262,0.6586242,2.3445373,2.3753662,1.3617637,5.007788,0,0.8374383,0.2856284,6.5910544,4.33068,0.36286983,5.007788,0.6643058,0.6913908,260.43585,1.8910245,2.152788,5.1864777,2.5034494,2.3753662,2.9440494,2.8439043,2.152788,0.23254476,2.152788,2.8439043,1.8910245,260.43585,0.29325286,0.6586242,2.3445373,2.3753662,0.43931913,0.9782558,0.6643058,62.334877,1.1785774,3.4738426,1.3617637,106.15124,0.6913908,1.8814863,2.667314,0,1.4528904,2.0856957,0,0.5220882,1.3617637,9.934316,4.33068,1.4691277,0.2856284,1.8966887,0.8774324,2.4346552,1.8966887,6.5910544,0.6913908,5.1864777,6.548262,1.4528904,0,2.2571712,2.2571712,1.4691277,9.934316,0.51099515,0.8374383,2.4346552,1.8742826,3.4738426,1.7849915,2.7268531,0.13586082,0.5210125,1.4955294,2.0856957,0.36286983,4.3120494,0.7871719,2.7268531,2.667314,1.8742826,2.9440494,0.29325286,2.5034494,4.3120494,5.8797107,X1
1126415_scaffold00621,3.1249042,4.329485,163.01517,2.7144961,2.1882708,3.6479635,8.3782015,0.3386392,4.344715,0.9172802,2.2690468,7.505406,4.329485,2.1019092,0.10220695,0,4.329485,9.558808,0,0.050887752,0.42401654,5.0127687,0.40614843,1.0972488,2.4413295,8.527671,3.8409352,2.481811,2.7144961,1.0091134,42.902546,4.057053,2.678435,3.8409352,2.4421568,1.50478,5.7778945,3.1249042,18.8806,1.4418579,1.2252238,2.4413295,1.489627,6.872715,18.8806,23.67718,18.8806,6.872715,3.1249042,5.7778945,8.439101,0.40614843,1.0972488,2.4413295,0.3386392,2.1882708,2.4421568,9.558808,8.3782015,2.9841402,8.527671,163.01517,1.50478,0.050887752,5.7639375,0,30.030653,8.898025,2.481811,0.10220695,8.527671,3.452632,4.057053,4.6887145,1.0091134,6.7038946,31.349796,6.6560254,6.7038946,42.902546,1.50478,1.4418579,5.0127687,30.030653,0,7.505406,7.505406,4.6887145,3.452632,4.344715,2.7144961,6.6560254,12.933936,2.9841402,0.9172802,1.1889722,2.2690468,3.6479635,0.42401654,8.898025,2.678435,23.931688,0,1.1889722,5.7639375,12.933936,1.489627,8.439101,1.2252238,23.931688,2.1019092,X2
1126415_scaffold00701,253.76874,11.566975,80.61561,15.187944,4.479765,2.3901532,15.837934,356.23434,189.03409,1093.7448,15.260518,20.082056,11.566975,10.613986,39.51032,53.839172,11.566975,54.21709,0,3.1937366,514.62195,58.912807,4.980813,47.329308,0,10.530723,4.5995107,4.045701,15.187944,13.817972,267.93073,31.071259,19.554153,4.5995107,1.5628276,7.37252,205.43318,253.76874,15.801519,36.49923,0,0,24.984293,33.16642,15.801519,6.396507,15.801519,33.16642,253.76874,205.43318,435.6062,4.980813,47.329308,0,356.23434,4.479765,1.5628276,54.21709,15.837934,1.0955763,10.530723,80.61561,7.37252,3.1937366,3.0424483,0,16.068193,38.469597,4.045701,39.51032,10.530723,18.939775,31.071259,3.0097306,13.817972,8.540317,5.411336,9.8016615,8.540317,267.93073,7.37252,36.49923,58.912807,16.068193,0,20.082056,20.082056,3.0097306,18.939775,189.03409,15.187944,9.8016615,2.0050297,1.0955763,1093.7448,147.31094,15.260518,2.3901532,514.62195,38.469597,19.554153,6.1973104,53.839172,147.31094,3.0424483,2.0050297,24.984293,435.6062,0,6.1973104,10.613986,PLV2
1126415_scaffold00772,4.940006,22.414652,152.69627,10.895947,0.59999645,19.69252,54.957455,1.4632571,28.36203,8.538609,1.65267,8.8703985,22.414652,8.193842,13.249062,1.2159368,22.414652,0.65800506,0,0.516253,17.803928,131.79193,18.770481,32.06072,18.162561,5.5400405,169.71878,8.537932,10.895947,211.30388,218.85645,44.26653,2.4841292,169.71878,11.307348,2.0260298,4.711481,4.940006,68.41991,65.25762,1.3810908,18.162561,60.212555,75.51126,68.41991,5.0648556,68.41991,75.51126,4.940006,4.711481,38.163975,18.770481,32.06072,18.162561,1.4632571,0.59999645,11.307348,0.65800506,54.957455,14.536283,5.5400405,152.69627,2.0260298,0.516253,22.027084,0,26.837679,75.772,8.537932,13.249062,5.5400405,438.01105,44.26653,14.511876,211.30388,212.01723,1.016521,5.641182,212.01723,218.85645,2.0260298,65.25762,131.79193,26.837679,0,8.8703985,8.8703985,14.511876,438.01105,28.36203,10.895947,5.641182,3.8671408,14.536283,8.538609,34.46299,1.65267,19.69252,17.803928,75.772,2.4841292,8.454066,1.2159368,34.46299,22.027084,3.8671408,60.212555,38.163975,1.3810908,8.454066,8.193842,PLV2
1126415_scaffold00777,2.975357,348.21594,73.908226,1.5732284,0.6022947,138.33778,18.617762,271.86716,7.2392216,14.196239,75.12902,0.92646676,348.21594,5.945948,9.0207405,10.756487,348.21594,1.7889234,0,3.857938,14.873447,20.377588,17.846645,3.870787,12.154757,1.9151361,3.0133266,10.248291,1.5732284,4.0483594,64.829216,1.9165013,45.69124,3.0133266,648.26526,0.4729745,3.6166978,2.975357,183.26323,2.8180623,13.586534,12.154757,89.729836,1.4301982,183.26323,12.133704,183.26323,1.4301982,2.975357,3.6166978,1.0989066,17.846645,3.870787,12.154757,271.86716,0.6022947,648.26526,1.7889234,18.617762,2.6530843,1.9151361,73.908226,0.4729745,3.857938,357.52158,0,10.231749,6.544464,10.248291,9.0207405,1.9151361,89.22888,1.9165013,8.272881,4.0483594,95.60104,41.35462,1.4723253,95.60104,64.829216,0.4729745,2.8180623,20.377588,10.231749,0,0.92646676,0.92646676,8.272881,89.22888,7.2392216,1.5732284,1.4723253,50.27857,2.6530843,14.196239,54.58322,75.12902,138.33778,14.873447,6.544464,45.69124,2.391636,10.756487,54.58322,357.52158,50.27857,89.729836,1.0989066,13.586534,2.391636,5.945948,PLV2
