Contig	06/29/10	05/22/13	07/10/09	12/23/13	12/11/12	02/23/11	09/18/13	03/13/13	09/28/11	05/17/10	04/29/11	11/29/11	05/22/13	01/15/14	05/21/11	02/13/13	05/22/13	08/11/10	01/26/12
1126415_scaffold00334	0	6.1942115	77.74651	0.75268936	5.1745667	2.4290602	3.2821124	1.1736797	3.230853	2.1816504	0.5457664	30.686974	0	5.133631	1.2918615	28.173538	6.022775	1.3506565	12.299229
1126415_scaffold00403	0	0.26933765	30.211424	0.19423221	0.9714021	1.1145267	0.19997483	0.088772	0.081455864	0.27999124	3.101583	0	0	0.071267575	1.7501721	0.45921168	0.15289994	98.799835	0.14124364
1126415_scaffold00438	1506.4148	1.2818688	62.171074	4.7179065	1.8694704	9.059463	3.4123635	25.457952	4.893227	112.29954	5.372117	26.721891	0	3.4994109	2.699158	14.461139	1.054281	11.044837	8.152791
1126415_scaffold00458	0	0.22563484	52.101765	6.6423006	0	0.43918896	130.02475	0	18.073536	0.027416073	0	0	0	1.3817135	0.13464996	0	0.06587503	0.06556789	4.716112
1126415_scaffold00524	0	15.478974	58.55151	2.522803	7.319421	11.518138	21.163933	1.5373646	2.91537	4.4668865	11.528006	29.841406	0	5.1014457	6.1822157	1.6662769	15.675806	30.362047	6.5228662
1126415_scaffold00576	0	2.5902255	110.62775	0.41436586	0.6855873	0.5633524	0.9751243	0.64930975	0.39719796	1.4894215	0.13266708	0	0	6.9503493	0.53339064	0.55980605	2.0130553	65.47794	4.2185154
1126415_scaffold00621	0	5.1743307	160.42484	2.6160753	2.626333	4.018918	8.268177	0.2780587	3.8781667	1.2437606	1.9089171	0	0	2.3215916	0.18273428	0	4.329485	10.576215	1.548451
1126415_scaffold00701	25.852177	10.995175	86.02167	16.128933	4.9213257	2.911468	14.007611	354.19675	189.22774	1087.8214	13.868984	0	0	11.111383	39.235756	55.49806	11.566975	55.790817	23.074604
1126415_scaffold00772	0	24.429226	145.18285	11.109732	1.0830886	20.424225	56.76736	2.068651	29.450294	7.045878	1.5369716	0.38024697	0	10.367082	12.8885145	1.3897398	22.414652	0.60181504	9.525101
1126415_scaffold00777	1.6043775	354.0108	76.99875	2.4094448	0.7973074	131.53174	18.144415	274.863	5.831784	14.470508	75.94722	0	0.16746047	4.5466566	10.5748	9.393424	348.21594	1.5246844	2.6031542
1126415_scaffold00816	3.7952805	0.43636683	75.69663	0.56643283	0.9691386	0.23782364	4.762635	1.5532967	0.8908012	0.44537938	0.6347397	0	0	3.9488692	1.1240879	0.6695917	0.31212783	0.68052083	1.5961281
1126415_scaffold00868	8.41019	14.751247	100.30322	23.93511	21.634178	4.5763626	31.441647	22.955734	19.766655	7.219118	14.566125	0	0	40.20923	419.96902	45.46968	15.629966	144.46089	9.265009
1126415_scaffold00959	3.4152772	0.3802752	71.66317	165.59483	2.5174484	42.40056	2.223447	1.4100336	3.1698735	48.799168	3.6300387	0	0	233.53107	3.143971	0.9378013	0.43715274	213.62517	2.2434807
1126415_scaffold01134	0	1.4514223	109.90331	4.8783216	0.35423106	1.8834229	3.3483686	0.15376492	29.206123	0.1763571	107.02294	232.24641	0	2.7157884	6.026972	0.68178487	1.324215	0.035147764	1.7737324
1126415_scaffold01135	0	0.05184885	34.433353	0	0	0.28258067	1.0393963	0	0.35281494	26.548061	31.864697	0	0	0.12347429	5.4508348	0	0.05298121	2.3906167	0
1126415_scaffold01148	0.098439395	1.8742913	90.91105	2.027461	0.17789161	1.1822972	1.7395039	1.0038513	1.9839487	0	0.14199722	0	0	1.1158724	0.036247786	0.22825743	1.0108132	0.6354319	0.49144953
1126415_scaffold01154	15.490776	0.3652895	60.1502	10.66882	1.1589731	0.85322523	1.2785902	10.371353	5.1844163	5.0155063	5.2186213	0	0	4.349553	1.2352787	0.11439301	0	4.953693	2.0934973
1126415_scaffold01185	0	2.2314734	143.3682	3.1897073	3.4491882	0.24130398	1.5384567	3.1520555	0.7230698	0.49708688	0.04830214	0	0	1.7713643	0.07398085	2.795207	1.1943947	0.97267574	1.2537956
1126415_scaffold01207	0.20250943	26.562113	111.49789	7.9073143	32.021362	9.582951	24.81097	9.134193	20.771297	24.596416	10.418822	0.4817978	0	13.645897	74.41978	2.5826406	28.236662	7.2985883	24.769735
1126415_scaffold01239	0	0.37759146	90.48445	0.61267316	0.2764625	0	29.196442	0	0.5138779	0.045879778	0.2942384	0	0	3.8537438	0.2253317	0.2364909	0.1653591	0.036575142	0.19094123
1126415_scaffold01278	3.0157151	501.0446	59.61661	3.5696423	16.537184	9.342254	19.968485	21.861715	3.0688784	6.689461	15.950438	34.142162	368.17468	9.954261	10.721682	10.489084	516.82043	7.7941036	5.9703555
1126415_scaffold01365	203.15836	22.967829	102.959335	6.457186	16.705439	14.975752	32.0375	22.935009	14.004091	789.1433	236.3544	225.55946	0	19.22491	85.178055	56.08044	22.656137	148.94899	33.60707
1126415_scaffold01456	4.541467	6.092721	80.49547	52.186356	4.2035685	35.600506	12.657537	5.6478453	48.475174	37.122	40.58419	0	0	55.80529	342.40933	1.0273733	7.004007	4.131171	45.8987
1126415_scaffold01478	0	34.208637	29.039454	7.9431467	1.5114365	21.215586	4.466694	76.28088	0.4013429	3.0099285	6.2199907	0	0	5.6183033	2.7923098	301.24792	33.931175	1.0797755	6.54169
1126415_scaffold01539	0	27.033613	74.225174	4.298502	6.685932	8.203534	13.813205	30.45114	2.7040172	1.9971904	15.2716465	0	0	4.874994	13.874988	2.3756943	29.777334	2.2453408	1.1366638
1126415_scaffold01581	0	0.42748535	107.56867	0	0	0.22188872	0.8161574	0	0	0.1558266	0	0	0	0	0.55273044	0	0.18720919	20.952486	0.14411445
1126415_scaffold01603	0.58245087	1.4170424	126.15825	2.9990447	1.7893476	5.764269	3.9797196	1.5534431	1.2577202	5.187849	0.72815233	0	0	7.482773	37.404026	0.40516934	1.573902	23.769997	0.7996538
1126415_scaffold01711	0	0.1269924	59.375156	1.0302781	0.5423862	0.11535324	0.70715934	0.3767031	0	2.5382988	0.1731781	0	0	0.6048465	0.57469577	3.4797504	0.25953174	0.08610723	0.4495245
1126415_scaffold01828	0	1.315557	109.46041	7.1509075	0	0.17924744	0.14651401	0.1951197	0.9847142	0.61541706	0	0	0	10.025292	0	0	0.53771526	0.089201376	0.15522583
1126415_scaffold02275	0	10.903995	157.05003	2.9886193	11.453974	1.3384618	3.9385347	0.9834626	0	1.5666107	1.1386671	0	0	3.5090644	1.0258901	1.4535391	13.17482	2.4478335	1.6517028
1126415_scaffold02397	0.43007702	5.4591265	116.33427	4.3059144	2.7201998	10.468545	6.5865006	11.020676	2.6828835	168.25264	9.305686	0	0	3.791817	7.971031	40.38846	4.1062865	12.904057	18.161053
1126415_scaffold02533	0	106.87293	63.064205	12.676176	1.7350651	1.3483022	55.684086	165.11552	25.836023	18.405962	3.6222277	0	0	17.48827	0.9790412	0	107.21125	37.345013	1.0139782
1126415_scaffold02572	0	0	111.803566	2.8109374	1.8833917	0.92985916	0.8769833	0	0	0.66975963	2.2908452	0	0	0	10.197216	0	0	0.9076796	0.09291292
1126415_scaffold02595	18.974926	1.7384601	26.0885	21.284176	11.879976	22.825546	37.31448	1.0548141	25.27247	0.067210816	39.943012	0	0	26.72193	0.7152079	3.637656	2.0186672	17.627869	13.146661
1126415_scaffold02610	0.44969475	0.23783922	73.37784	6.560533	0	29.453547	8.652823	0.58792734	0	6.7430964	74.958275	0	0	13.215929	18.104353	0	0.4860671	2.47276	3.0869565
1126415_scaffold02696	0	0.32363647	41.225853	1.8379437	1.2440298	1.1758976	5.586743	0.24000423	0	1.0322524	0.662009	0	0	2.5048296	0	0.70944345	1.1574659	0.16458134	0.28640002
1126415_scaffold02749	0	0.90070575	109.07032	1.3286083	0	0	0	0	8.246312	0	0	0	0	1.3649781	0	0	0.16734122	1.7211305	1.0627651
1126415_scaffold02855	0	0	120.50866	1.7665908	0.1430793	0.2282229	0.37309158	0.12421595	0.22795741	0	0.30455792	0	0	0	3.0320487	0.18358883	0.08557928	0.795016	0.09881896
1126415_scaffold02909	191.65562	60.531452	163.10983	83.95106	39.429527	28.4901	190.37886	75.358795	1064.7198	26.101883	27.51535	60.086796	0.33368614	66.23711	18.599533	85.80436	56.41102	39.724934	292.67288
1126415_scaffold02972	0	0	231.6966	51.812836	0	0	0.38035452	0	0.11619753	0	0	0	0	0	1.6049805	0	0	0	0
1126415_scaffold03000	17.677074	37.99735	70.71219	9.463792	2.1980202	10.128497	14.328816	489.39914	1.6342384	718.1552	8.8115425	0	0	40.44382	6.50913	121.462555	41.544224	24.484629	61.735325
1126415_scaffold03349	0	0	70.79422	0	0	0	0	0	0	0.15429103	0	0	0	0	0	0	0	0.123000085	0

